Run,R999_hashes_per_s,R2048_hashes_per_s,Time_ms_per_check
1,1370100.000000,668325.146484,0.001496278
2,1295000.000000,631691.894531,0.001583050
3,1368800.000000,667691.015625,0.001497699
4,1339300.000000,653301.123047,0.001530688
5,1370900.000000,668715.380859,0.001495405
6,1290100.000000,629301.708984,0.001589063
7,1333000.000000,650228.027344,0.001537922
8,1358000.000000,662422.851562,0.001509610
9,1357800.000000,662325.292969,0.001509832
10,1324900.000000,646276.904297,0.001547324
11,1280500.000000,624618.896484,0.001600976
12,1282600.000000,625643.261719,0.001598355
13,1344700.000000,655935.205078,0.001524541
14,1329100.000000,648325.634766,0.001542435
15,1283000.000000,625838.378906,0.001597857
16,1275300.000000,622082.373047,0.001607504
17,1330800.000000,649154.882812,0.001540464
18,1331800.000000,649642.675781,0.001539308
19,1317900.000000,642862.353516,0.001555543
20,1303800.000000,635984.472656,0.001572365
21,1305800.000000,636960.058594,0.001569957
22,1265400.000000,617253.222656,0.001620081
23,1257200.000000,613253.320312,0.001630648
24,1327300.000000,647447.607422,0.001544527
25,1267100.000000,618082.470703,0.001617907
26,1318600.000000,643203.808594,0.001554717
27,1318200.000000,643008.691406,0.001555189
28,1316400.000000,642130.664062,0.001557315
29,1325000.000000,646325.683594,0.001547208
30,1316100.000000,641984.326172,0.001557670
