Run,Mem_MiB,T_cost,Lanes,HashRate_Hs
1,512,1,1,212
2,512,1,1,213
3,512,1,1,212
4,512,1,1,212
5,512,1,1,212
6,512,1,1,212
7,512,1,1,212
8,512,1,1,212
9,512,1,1,212
10,512,1,1,212
11,512,1,1,212
12,512,1,1,212
13,512,1,1,212
14,512,1,1,212
15,512,1,1,212
16,512,1,1,212
17,512,1,1,212
18,512,1,1,212
19,512,1,1,212
20,512,1,1,212
21,512,1,1,212
22,512,1,1,212
23,512,1,1,212
24,512,1,1,212
25,512,1,1,212
26,512,1,1,212
27,512,1,1,212
28,512,1,1,212
29,512,1,1,212
30,512,1,1,212
31,512,1,1,212
32,512,1,1,212
33,512,1,1,212
34,512,1,1,212
35,512,1,1,212
36,512,1,1,212
37,512,1,1,212
38,512,1,1,212
39,512,1,1,212
40,512,1,1,212
41,512,1,1,212
42,512,1,1,212
43,512,1,1,212
44,512,1,1,212
45,512,1,1,212
46,512,1,1,212
47,512,1,1,212
48,512,1,1,212
49,512,1,1,212
50,512,1,1,212
51,512,1,1,212
52,512,1,1,212
53,512,1,1,212
54,512,1,1,212
55,512,1,1,212
56,512,1,1,212
57,512,1,1,212
58,512,1,1,212
59,512,1,1,212
60,512,1,1,212
61,512,1,1,212
62,512,1,1,212
63,512,1,1,212
64,512,1,1,212
65,512,1,1,212
66,512,1,1,212
67,512,1,1,212
68,512,1,1,212
69,512,1,1,212
70,512,1,1,212
71,512,1,1,212
72,512,1,1,212
73,512,1,1,212
74,512,1,1,212
75,512,1,1,212
76,512,1,1,212
77,512,1,1,212
78,512,1,1,212
79,512,1,1,212
80,512,1,1,212
81,512,1,1,212
82,512,1,1,212
83,512,1,1,212
84,512,1,1,212
85,512,1,1,212
86,512,1,1,212
87,512,1,1,212
88,512,1,1,212
89,512,1,1,212
90,512,1,1,212
91,512,1,1,212
92,512,1,1,212
93,512,1,1,212
94,512,1,1,212
95,512,1,1,212
96,512,1,1,212
97,512,1,1,212
98,512,1,1,212
99,512,1,1,212
100,512,1,1,212
