Run,Mem_MiB,Target_Hashes,Actual_Hashes,Time_Seconds,Speed_Hs
1,1024,20000,20010,371.9292,53.8006
2,1024,20000,20010,373.0374,53.6407
3,1024,20000,20010,372.8964,53.6610
4,1024,20000,20010,372.9029,53.6601
5,1024,20000,20010,372.9631,53.6514
1,2048,10000,10005,737.9797,13.5573
2,2048,10000,10005,737.9629,13.5576
3,2048,10000,10005,737.9716,13.5574
4,2048,10000,10005,737.8494,13.5597
5,2048,10000,10005,738.1054,13.5550
1,4096,200,209,77.5006,2.6968
2,4096,200,209,77.4961,2.6969
3,4096,200,209,77.4823,2.6974
4,4096,200,209,77.4913,2.6971
5,4096,200,209,77.4874,2.6972
1,8192,50,50,92.5064,0.5405
2,8192,50,50,92.5028,0.5405
3,8192,50,50,92.5160,0.5404
4,8192,50,50,92.5274,0.5404
5,8192,50,50,92.5211,0.5404
