Run,Time_ms
1,2438.625851000
2,2495.011997000
3,2478.067563000
4,2453.093435000
5,2429.641808000
6,2451.326638000
7,2446.618184000
8,2429.007848000
9,2438.878439000
10,2420.584744000
11,2441.882968000
12,2424.169311000
13,2425.327276000
14,2417.760804000
15,2431.784345000
16,2413.593380000
17,2423.143467000
18,2414.022579000
19,2415.017085000
20,2417.667069000
21,2449.567920000
22,2415.567499000
23,2423.365400000
24,2421.774608000
25,2426.681998000
26,2421.015859000
27,2438.226914000
28,2421.221952000
29,2440.040400000
30,2406.742311000
31,2403.877314000
32,2420.805497000
33,2405.428384000
34,2429.661269000
35,2401.604864000
36,2431.101554000
37,2413.751009000
38,2422.812232000
39,2439.957165000
40,2412.850594000
41,2410.839797000
42,2427.785300000
43,2424.601848000
44,2430.535736000
45,2422.541326000
46,2432.035539000
47,2490.812064000
48,2428.428482000
49,2419.635434000
50,2416.668885000
51,2441.176624000
52,2427.096940000
53,2433.249621000
54,2423.501249000
55,2419.364023000
56,2439.288763000
57,2419.902213000
58,2418.113612000
59,2539.800629000
60,2416.901061000
61,2418.911732000
62,2408.345850000
63,2408.104591000
64,2407.204862000
65,2409.384059000
66,2411.639946000
67,2469.880509000
68,2443.256514000
69,2435.225149000
70,2416.672234000
71,2417.337395000
72,2417.748986000
73,2416.084195000
74,2436.699770000
75,2421.902157000
76,2433.481022000
77,2438.803997000
78,2446.253587000
79,2442.189324000
80,2438.539091000
81,2437.035139000
82,2431.913858000
83,2425.437867000
84,2426.352380000
85,2419.454360000
86,2411.422279000
87,2425.680269000
88,2412.705956000
89,2450.305506000
90,2418.777846000
91,2430.827702000
92,2418.760704000
93,2425.750595000
94,2423.286786000
95,2433.305845000
96,2418.554294000
97,2426.315101000
98,2408.123968000
99,2424.940944000
100,2417.727296000
101,2415.387877000
102,2434.444651000
103,2441.144877000
104,2433.309084000
105,2437.124999000
106,2454.317136000
107,2422.290971000
108,2483.188665000
109,2428.029853000
110,2458.633953000
111,2459.019942000
112,2532.822945000
113,2494.782196000
114,2519.509718000
115,2434.759480000
116,2442.394181000
117,2452.654354000
118,2443.669631000
119,2425.399936000
120,2477.757315000
121,2415.747639000
122,2433.590490000
123,2452.463835000
124,2410.887859000
125,2425.228537000
126,2414.414671000
127,2413.419966000
128,2403.145455000
129,2419.249901000
130,2434.694022000
131,2434.344260000
132,2417.418831000
133,2428.210560000
134,2431.955720000
135,2438.465819000
136,2413.075002000
137,2425.763021000
138,2465.617181000
139,2447.966394000
140,2406.091672000
141,2478.934996000
142,2407.297971000
143,2423.432012000
144,2407.933256000
145,2429.453074000
146,2416.254915000
147,2409.749663000
148,2440.478178000
149,2419.280310000
150,2440.968855000
151,2437.523027000
152,2428.863539000
153,2417.337248000
154,2416.319362000
155,2399.035338000
156,2433.955251000
157,2407.128085000
158,2433.234080000
159,2439.732481000
160,2422.443321000
161,2409.262111000
162,2427.383457000
163,2442.746329000
164,2421.845427000
165,2450.597097000
166,2436.643134000
167,2439.809943000
168,2484.966266000
169,2420.585745000
170,2432.850094000
171,2419.950116000
172,2420.813101000
173,2418.142996000
174,2487.146404000
175,2427.461612000
176,2484.932495000
177,2480.010930000
178,2474.817185000
179,2460.399374000
180,2442.402923000
181,2444.349776000
182,2450.903623000
183,2447.787082000
184,2461.987180000
185,2440.055599000
186,2495.161717000
187,2460.617209000
188,2466.883183000
189,2464.347062000
190,2507.596192000
191,2523.202198000
192,2474.172376000
193,2457.446545000
194,2439.523513000
195,2463.557261000
196,2447.643524000
197,2473.993413000
198,2467.763041000
199,2481.097990000
200,2489.036505000
