Run,Time_ms
1,1.678810000
2,1.592602000
3,1.535703000
4,1.449879000
5,1.554515000
6,1.457214000
7,1.456714000
8,1.444206000
9,1.503873000
10,1.483924000
11,1.418323000
12,1.511119000
13,1.474844000
14,1.415082000
15,1.439145000
16,1.419384000
17,1.401023000
18,1.480362000
19,1.473239000
20,1.481484000
21,1.484567000
22,1.430422000
23,1.417854000
24,1.408849000
25,1.468046000
26,1.412538000
27,1.414334000
28,1.426579000
29,1.459652000
30,1.391327000
31,1.432270000
32,1.397200000
33,1.439801000
34,1.455400000
35,1.440178000
36,1.439563000
37,1.435565000
38,1.443381000
39,1.387642000
40,1.405617000
41,1.421130000
42,1.444198000
43,1.443474000
44,1.442131000
45,1.444479000
46,1.421153000
47,1.467576000
48,1.426913000
49,1.404538000
50,1.401642000
51,1.412851000
52,1.416798000
53,1.383381000
54,1.429707000
55,1.461799000
56,1.484285000
57,1.421401000
58,1.481441000
59,1.453107000
60,1.418312000
61,1.384042000
62,1.437120000
63,1.411000000
64,1.408103000
65,1.408088000
66,1.470245000
67,1.441897000
68,1.451201000
69,1.456771000
70,1.471894000
71,1.433368000
72,1.408159000
73,1.439993000
74,1.428053000
75,1.443912000
76,1.403817000
77,1.435821000
78,1.448006000
79,1.458944000
80,1.451237000
81,1.406476000
82,1.490090000
83,1.474618000
84,1.463803000
85,1.421154000
86,1.416156000
87,1.448699000
88,1.420120000
89,1.411096000
90,1.441132000
91,1.431123000
92,1.444085000
93,1.448356000
94,1.454671000
95,1.424923000
96,1.472872000
97,1.470981000
98,1.390577000
99,1.421956000
100,1.433414000
101,1.390420000
102,1.422583000
103,1.582493000
104,1.432870000
105,1.402580000
106,1.400177000
107,1.562033000
108,1.554483000
109,1.435619000
110,1.508211000
111,1.521537000
112,1.545852000
113,1.509296000
114,1.543301000
115,1.475135000
116,1.463976000
117,1.561466000
118,1.537979000
119,1.465570000
120,1.444864000
121,1.482937000
122,1.503975000
123,1.435134000
124,1.418275000
125,1.404815000
126,1.393012000
127,1.412695000
128,1.393199000
129,1.399122000
130,1.438919000
131,1.413397000
132,1.394660000
133,1.373896000
134,1.419498000
135,1.424466000
136,1.402829000
137,1.474565000
138,1.443933000
139,1.435151000
140,1.454885000
141,1.446368000
142,1.443096000
143,1.475410000
144,1.433034000
145,1.475700000
146,1.416138000
147,1.409733000
148,1.430353000
149,1.451701000
150,1.378297000
151,1.404053000
152,1.432193000
153,1.449632000
154,1.433533000
155,1.380176000
156,1.516402000
157,1.423340000
158,1.461958000
159,1.476113000
160,1.399985000
161,1.461009000
162,1.482340000
163,1.401573000
164,1.446097000
165,1.388379000
166,1.377532000
167,1.466297000
168,1.413519000
169,1.447255000
170,1.620510000
171,1.593633000
172,1.673665000
173,1.508317000
174,1.455550000
175,1.364986000
176,1.436163000
177,1.392836000
178,1.388577000
179,1.345999000
180,1.323091000
181,1.396310000
182,1.505919000
183,1.395772000
184,1.428350000
185,1.438128000
186,1.369066000
187,1.399808000
188,1.365496000
189,1.465976000
190,1.441626000
191,1.418307000
192,1.386244000
193,1.383811000
194,1.475149000
195,1.436136000
196,1.426962000
197,1.390629000
198,1.426743000
199,1.414890000
200,1.450597000
