Run,Points,InputLen_bytes,Time_ms
1,3,44,3.753105000
2,3,44,3.586334000
3,3,44,3.577296000
4,3,44,4.040163000
5,3,44,3.986847000
6,3,44,3.658228000
7,3,44,3.682756000
8,3,44,3.662551000
9,3,44,3.742119000
10,3,44,3.713687000
11,3,44,3.658475000
12,3,44,3.749669000
13,3,44,4.059395000
14,3,44,3.738658000
15,3,44,3.633317000
16,3,44,3.708089000
17,3,44,3.655415000
18,3,44,3.567819000
19,3,44,3.674406000
20,3,44,3.929809000
21,3,44,3.976576000
22,3,44,3.758999000
23,3,44,3.770902000
24,3,44,3.719765000
25,3,44,3.669832000
26,3,44,3.672182000
27,3,44,3.727752000
28,3,44,4.272649000
29,3,44,4.246375000
30,3,44,3.639005000
31,3,44,3.635130000
32,3,44,3.571441000
33,3,44,3.965038000
34,3,44,3.702716000
35,3,44,3.633627000
36,3,44,4.078521000
37,3,44,4.016382000
38,3,44,3.679379000
39,3,44,3.644722000
40,3,44,3.651361000
41,3,44,3.572666000
42,3,44,3.559406000
43,3,44,3.628091000
44,3,44,3.839622000
45,3,44,3.724137000
46,3,44,3.726024000
47,3,44,3.701860000
48,3,44,3.735357000
49,3,44,3.705333000
50,3,44,3.657574000
51,3,44,3.688737000
52,3,44,3.985690000
53,3,44,4.140887000
54,3,44,3.622986000
55,3,44,3.638649000
56,3,44,3.688712000
57,3,44,3.732491000
58,3,44,3.687294000
59,3,44,3.721159000
60,3,44,3.895855000
61,3,44,3.990000000
62,3,44,3.679503000
63,3,44,3.711805000
64,3,44,3.719284000
65,3,44,3.695808000
66,3,44,3.604354000
67,3,44,3.720766000
68,3,44,3.971085000
69,3,44,4.030580000
70,3,44,3.675771000
71,3,44,3.689978000
72,3,44,3.702977000
73,3,44,3.632529000
74,3,44,3.643178000
75,3,44,3.699409000
76,3,44,3.893137000
77,3,44,4.021812000
78,3,44,3.667798000
79,3,44,3.939953000
80,3,44,3.706697000
81,3,44,3.664247000
82,3,44,3.656948000
83,3,44,3.717620000
84,3,44,3.921214000
85,3,44,3.933883000
86,3,44,3.673746000
87,3,44,3.678200000
88,3,44,3.684946000
89,3,44,3.737125000
90,3,44,3.681692000
91,3,44,3.683055000
92,3,44,3.694787000
93,3,44,4.000027000
94,3,44,3.700785000
95,3,44,3.626774000
96,3,44,3.714025000
97,3,44,3.584844000
98,3,44,3.719782000
99,3,44,3.635150000
100,3,44,3.832702000
101,3,44,4.083526000
102,3,44,3.716240000
103,3,44,3.622611000
104,3,44,3.650067000
105,3,44,3.704895000
106,3,44,3.616825000
107,3,44,3.730281000
108,3,44,3.833410000
109,3,44,4.054526000
110,3,44,3.693648000
111,3,44,3.606698000
112,3,44,3.739156000
113,3,44,3.739791000
114,3,44,3.676466000
115,3,44,3.671018000
116,3,44,3.759408000
117,3,44,4.047215000
118,3,44,3.664954000
119,3,44,3.739746000
120,3,44,3.756292000
121,3,44,3.659023000
122,3,44,3.723294000
123,3,44,3.658724000
124,3,44,3.870698000
125,3,44,4.233747000
126,3,44,3.780074000
127,3,44,3.695096000
128,3,44,3.674538000
129,3,44,3.717834000
130,3,44,3.712597000
131,3,44,3.585405000
132,3,44,3.791789000
133,3,44,4.062777000
134,3,44,3.967635000
135,3,44,3.779986000
136,3,44,3.736500000
137,3,44,3.714061000
138,3,44,3.724178000
139,3,44,3.603869000
140,3,44,3.883947000
141,3,44,4.006244000
142,3,44,3.655449000
143,3,44,3.792949000
144,3,44,3.695024000
145,3,44,3.685880000
146,3,44,3.672580000
147,3,44,3.696195000
148,3,44,3.830657000
149,3,44,4.084921000
150,3,44,3.734345000
151,3,44,3.714341000
152,3,44,3.720006000
153,3,44,3.714463000
154,3,44,3.687548000
155,3,44,3.715828000
156,3,44,3.903270000
157,3,44,4.029749000
158,3,44,3.721246000
159,3,44,3.603440000
160,3,44,3.680422000
161,3,44,3.654646000
162,3,44,3.611168000
163,3,44,3.709738000
164,3,44,3.730041000
165,3,44,4.054976000
166,3,44,3.831996000
167,3,44,3.697855000
168,3,44,3.677640000
169,3,44,3.725067000
170,3,44,3.693526000
171,3,44,3.726123000
172,3,44,3.844067000
173,3,44,4.009774000
174,3,44,3.699995000
175,3,44,3.734064000
176,3,44,3.643180000
177,3,44,3.636558000
178,3,44,3.709429000
179,3,44,3.763984000
180,3,44,3.829038000
181,3,44,4.045954000
182,3,44,4.576386000
183,3,44,4.481908000
184,3,44,4.388209000
185,3,44,4.076571000
186,3,44,3.820685000
187,3,44,3.812402000
188,3,44,4.083079000
189,3,44,3.838066000
190,3,44,3.760409000
191,3,44,3.768401000
192,3,44,3.809475000
193,3,44,3.779731000
194,3,44,3.704495000
195,3,44,3.770836000
196,3,44,4.073324000
197,3,44,3.693858000
198,3,44,3.744530000
199,3,44,3.702542000
200,3,44,3.771098000
201,3,44,3.841167000
202,3,44,3.625553000
203,3,44,3.896341000
204,3,44,3.918198000
205,3,44,4.028130000
206,3,44,3.714771000
207,3,44,3.691326000
208,3,44,3.795909000
209,3,44,3.779856000
210,3,44,3.713029000
211,3,44,3.912973000
212,3,44,4.361442000
213,3,44,4.047147000
214,3,44,3.693380000
215,3,44,3.681868000
216,3,44,3.651471000
217,3,44,3.566032000
218,3,44,3.755407000
219,3,44,4.087530000
220,3,44,4.264044000
221,3,44,3.900001000
222,3,44,3.701173000
223,3,44,3.738236000
224,3,44,3.745598000
225,3,44,3.746960000
226,3,44,3.710432000
227,3,44,3.834134000
228,3,44,3.873080000
229,3,44,3.731544000
