Run,Total_H_per_s,NumDevices,SpeedLines
1,9461800000.000,1,"Speed.#1.........: 9461.8 MH/s (74.03ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
2,9396400000.000,1,"Speed.#1.........: 9396.4 MH/s (74.55ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
3,9335800000.000,1,"Speed.#1.........: 9335.8 MH/s (75.10ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
4,9295900000.000,1,"Speed.#1.........: 9295.9 MH/s (75.37ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
5,9250000000.000,1,"Speed.#1.........: 9250.0 MH/s (75.72ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
6,9224600000.000,1,"Speed.#1.........: 9224.6 MH/s (75.93ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
7,9202800000.000,1,"Speed.#1.........: 9202.8 MH/s (76.07ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
8,9185400000.000,1,"Speed.#1.........: 9185.4 MH/s (76.21ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
9,9175300000.000,1,"Speed.#1.........: 9175.3 MH/s (76.33ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
10,9162800000.000,1,"Speed.#1.........: 9162.8 MH/s (76.42ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
11,9156200000.000,1,"Speed.#1.........: 9156.2 MH/s (76.44ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
12,9150400000.000,1,"Speed.#1.........: 9150.4 MH/s (76.50ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
13,9153100000.000,1,"Speed.#1.........: 9153.1 MH/s (76.54ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
14,9141000000.000,1,"Speed.#1.........: 9141.0 MH/s (76.53ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
15,9144800000.000,1,"Speed.#1.........: 9144.8 MH/s (76.60ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
16,9146300000.000,1,"Speed.#1.........: 9146.3 MH/s (76.54ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
17,9139800000.000,1,"Speed.#1.........: 9139.8 MH/s (76.63ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
18,9139600000.000,1,"Speed.#1.........: 9139.6 MH/s (76.63ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
19,9143300000.000,1,"Speed.#1.........: 9143.3 MH/s (76.60ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
20,9147000000.000,1,"Speed.#1.........: 9147.0 MH/s (76.57ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
21,9141900000.000,1,"Speed.#1.........: 9141.9 MH/s (76.56ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
22,9148900000.000,1,"Speed.#1.........: 9148.9 MH/s (76.58ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
23,9144400000.000,1,"Speed.#1.........: 9144.4 MH/s (76.58ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
24,9140500000.000,1,"Speed.#1.........: 9140.5 MH/s (76.60ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
