Run,Time_ms
1,4.092465000
2,3.889882000
3,3.794550000
4,4.090157000
5,4.091025000
6,3.757256000
7,3.675347000
8,3.727004000
9,3.662634000
10,3.730950000
11,3.885843000
12,4.031406000
13,4.109614000
14,3.720619000
15,3.678619000
16,3.584719000
17,3.648937000
18,3.643827000
19,3.767562000
20,3.637786000
21,3.684620000
22,3.516172000
23,3.698269000
24,3.582886000
25,3.660083000
26,3.670525000
27,3.762868000
28,3.563341000
29,3.589278000
30,4.303672000
31,3.825788000
32,3.508888000
33,3.592868000
34,3.679604000
35,3.716781000
36,3.747705000
37,3.743362000
38,3.512544000
39,3.625098000
40,3.647486000
41,3.690230000
42,3.587412000
43,3.736735000
44,3.621912000
45,3.617445000
46,3.580931000
47,3.618288000
48,3.627374000
49,3.614959000
50,3.573833000
51,3.785860000
52,3.700717000
53,3.595553000
54,3.612486000
55,3.631907000
56,3.626441000
57,3.590024000
58,3.767501000
59,3.687705000
60,3.705395000
61,3.500785000
62,3.564926000
63,3.521863000
64,3.640121000
65,3.537846000
66,3.654855000
67,4.014050000
68,3.675724000
69,4.024959000
70,3.517592000
71,3.522475000
72,3.641074000
73,3.721506000
74,3.623132000
75,4.263816000
76,3.673422000
77,3.643138000
78,3.539259000
79,3.671010000
80,3.620613000
81,3.505437000
82,3.889664000
83,3.628855000
84,3.782900000
85,3.762979000
86,3.641436000
87,3.552849000
88,3.626840000
89,3.580938000
90,3.544958000
91,3.698247000
92,3.685078000
93,3.802467000
94,3.526234000
95,3.519901000
96,3.691482000
97,3.515269000
98,3.536320000
99,3.534900000
100,3.615959000
101,3.683390000
102,3.660357000
103,3.534120000
104,3.578831000
105,3.596584000
106,3.616479000
107,3.649389000
108,3.586630000
109,3.613007000
110,3.876206000
111,3.564536000
112,3.517289000
113,3.642924000
114,3.592418000
115,3.573481000
116,3.614928000
117,3.629952000
118,3.778757000
119,3.663443000
120,3.498514000
121,3.530428000
122,3.709208000
123,3.617770000
124,3.848682000
125,3.615531000
126,4.020725000
127,3.705828000
128,3.585204000
129,4.764561000
130,3.573537000
131,3.579098000
132,3.636398000
133,3.621666000
134,3.671080000
135,3.619747000
136,3.523146000
137,3.512105000
138,3.685301000
139,3.638232000
140,3.632036000
141,3.702098000
142,3.641409000
143,3.645028000
144,3.635448000
145,3.556756000
146,3.976717000
147,4.260455000
148,3.637565000
149,3.645164000
150,3.768487000
151,3.760628000
152,3.632176000
153,3.592278000
154,3.507503000
155,3.620080000
156,3.633995000
157,3.633511000
158,3.677098000
159,3.630595000
160,3.536100000
161,3.624479000
162,3.674525000
163,3.693313000
164,3.748988000
165,3.683745000
166,3.652833000
167,3.695373000
168,3.616494000
169,3.509442000
170,3.602161000
171,3.583779000
172,3.665843000
173,3.634843000
174,3.639459000
175,3.632274000
176,3.638949000
177,3.665183000
178,3.643709000
179,4.152925000
180,3.506713000
181,3.608369000
182,3.645966000
183,3.585742000
184,3.706433000
185,3.591816000
186,3.525657000
187,3.616965000
188,3.608317000
189,3.697336000
190,3.658723000
191,3.511525000
192,3.522576000
193,3.552250000
194,3.594040000
195,3.604627000
196,3.656619000
197,3.684632000
198,3.878161000
199,3.752185000
200,3.958714000
201,3.866855000
202,3.543596000
203,3.625604000
204,3.666207000
205,3.657696000
206,3.610642000
207,3.563808000
208,3.722449000
209,3.877448000
210,3.738560000
211,3.670109000
212,3.645981000
213,3.663928000
214,3.623235000
215,3.628053000
216,3.650054000
217,3.760324000
218,3.609348000
219,3.663300000
220,3.603835000
221,3.684900000
222,3.614927000
223,3.644085000
224,3.493213000
225,3.747589000
226,3.742893000
227,3.627903000
228,3.702364000
229,3.669044000
230,3.550002000
231,3.707442000
232,3.684112000
233,3.633832000
234,3.786321000
235,3.716364000
236,3.701783000
